Consensus,Player,Player Link,Player Slug/ID,Consensus Pos,Team/Bye,BestBall10s,CBS,DraftKings,Drafters,ESPN,MFL,NFFC,NFLcom,RT Sports,Sleeper,Underdog,Yahoo!
157,Brandon Aubrey,https://www.footballguys.com/player/Brandon+Aubrey/AubrBr00,AubrBr00,PK1,DAL/10,-,107,-,-,99,113,150,71,128,127,-,91
171,Cameron Dicker,https://www.footballguys.com/player/Cameron+Dicker/DickCa44,DickCa44,PK2,LAC/12,-,161,-,-,117,148,176,78,151,132,-,116
174,Jake Bates,https://www.footballguys.com/player/Jake+Bates/BateJa00,BateJa00,PK3,DET/8,-,168,-,-,96,142,195,105,163,129,-,126
187,Chris Boswell,https://www.footballguys.com/player/Chris+Boswell/BoswCh44,BoswCh44,PK4,PIT/5,-,196,-,-,144,191,199,69,221,133,-,156
195,Chase McLaughlin,https://www.footballguys.com/player/Chase+McLaughlin/McLaCh44,McLaCh44,PK5,TB/9,-,165,-,-,107,182,220,112,188,136,-,221
196,Ka'imi Fairbairn,https://www.footballguys.com/player/Ka%26apos%3Bimi+Fairbairn/FairKa99,FairKa99,PK6,HOU/6,-,197,-,-,179,216,206,87,174,170,-,180
201,Harrison Butker,https://www.footballguys.com/player/Harrison+Butker/ButkHa99,ButkHa99,PK7,KC/10,-,192,-,-,147,185,211,145,206,139,-,199
204,Jake Elliott,https://www.footballguys.com/player/Jake+Elliott/ElliJa98,ElliJa98,PK8,PHI/9,-,188,-,-,141,183,-,135,218,141,-,217
206,Cam Little,https://www.footballguys.com/player/Cam+Little/LittCa00,LittCa00,PK9,JAX/8,-,193,-,-,153,233,240,156,231,174,-,168
212,Tyler Bass,https://www.footballguys.com/player/Tyler+Bass/BassTy44,BassTy44,PK10,BUF/7,-,183,-,-,151,218,-,146,238,166,-,208
216,Wil Lutz,https://www.footballguys.com/player/Wil+Lutz/LutzWi44,LutzWi44,PK11,DEN/12,-,208,-,-,209,199,207,134,192,204,-,218
231,Younghoe Koo,https://www.footballguys.com/player/Younghoe+Koo/KooxYo99,KooxYo99,PK12,ATL/5,-,200,-,-,192,249,-,170,248,157,-,206
232,Tyler Loop,https://www.footballguys.com/player/Tyler+Loop/LoopTy00,LoopTy00,PK13,BAL/7,-,210,-,-,174,223,250,199,228,159,-,213
234,Jason Sanders,https://www.footballguys.com/player/Jason+Sanders/SandJa44,SandJa44,PK14,MIA/12,-,176,-,-,146,259,-,108,-,245,-,228
240,Evan McPherson,https://www.footballguys.com/player/Evan+McPherson/McPhEv44,McPhEv44,PK15,CIN/10,-,190,-,-,191,227,245,186,243,179,-,220
243,Daniel Carlson,https://www.footballguys.com/player/Daniel+Carlson/CarlDa44,CarlDa44,PK16,LV/8,-,-,-,-,214,293,-,162,247,202,-,214
245,Matt Gay,https://www.footballguys.com/player/Matt+Gay/GayxMa44,GayxMa44,PK17,WAS/12,-,154,-,-,175,242,232,182,226,-,-,219
258,Jake Moody,https://www.footballguys.com/player/Jake+Moody/MoodJa44,MoodJa44,PK18,SF/14,-,-,-,-,210,281,-,202,245,229,-,197
259,Will Reichard,https://www.footballguys.com/player/Will+Reichard/ReicWi00,ReicWi00,PK19,MIN/6,-,-,-,-,215,280,225,198,-,231,-,211
265,Brandon McManus,https://www.footballguys.com/player/Brandon+McManus/McMaBr44,McMaBr44,PK20,GB/5,-,212,-,-,217,272,-,206,230,-,-,188
276,Cairo Santos,https://www.footballguys.com/player/Cairo+Santos/SantCa44,SantCa44,PK21,CHI/5,-,-,-,-,185,300,-,219,-,-,-,-
282,Joshua Karty,https://www.footballguys.com/player/Joshua+Karty/KartJo00,KartJo00,PK22,LAR/8,-,-,-,-,-,315,-,213,-,-,-,210
284,Jason Myers,https://www.footballguys.com/player/Jason+Myers/MyerJa44,MyerJa44,PK23,SEA/8,-,-,-,-,248,303,-,178,-,-,-,-
301,Justin Tucker,https://www.footballguys.com/player/Justin+Tucker/TuckJu44,TuckJu44,PK24,FA,-,-,-,-,213,-,-,-,-,-,-,-
307,Graham Gano,https://www.footballguys.com/player/Graham+Gano/GanoGr44,GanoGr44,PK25,NYG/14,-,-,-,-,230,-,-,-,-,-,-,-
308,Blake Grupe,https://www.footballguys.com/player/Blake+Grupe/GrupBl00,GrupBl00,PK26,NO/11,-,-,-,-,244,331,-,236,-,-,-,-
309,Dustin Hopkins,https://www.footballguys.com/player/Dustin+Hopkins/HopkDu44,HopkDu44,PK27,FA,-,-,-,-,235,-,-,-,-,-,-,-
311,Harrison Mevis,https://www.footballguys.com/player/Harrison+Mevis/MeviHa00,MeviHa00,PK28,NYJ/9,-,-,-,-,232,-,-,-,-,-,-,-
320,Andy Borregales,https://www.footballguys.com/player/Andy+Borregales/BorrAn00,BorrAn00,PK29,NE/14,-,-,-,-,238,-,-,-,-,-,-,-
327,Ryan Fitzgerald,https://www.footballguys.com/player/Ryan+Fitzgerald/FitzRy01,FitzRy01,PK30,CAR/14,-,-,-,-,245,-,-,-,-,-,-,-
328,Nick Folk,https://www.footballguys.com/player/Nick+Folk/FolkNi44,FolkNi44,PK31,NYJ/9,-,-,-,-,237,-,-,-,-,-,-,-
