Consensus,Player,Player Link,Player Slug/ID,Consensus Pos,Team/Bye,BestBall10s,CBS,DraftKings,Drafters,ESPN,MFL,NFFC,NFLcom,RT Sports,Sleeper,Underdog,Yahoo!
2,Bijan Robinson,https://www.footballguys.com/player/Bijan+Robinson/RobiBi01,RobiBi01,RB1,ATL/5,2,2,2,2,2,2,2,4,2,3,2,2
3,Saquon Barkley,https://www.footballguys.com/player/Saquon+Barkley/BarkSa00,BarkSa00,RB2,PHI/9,4,3,3,6,3,4,4,2,4,2,5,3
4,Jahmyr Gibbs,https://www.footballguys.com/player/Jahmyr+Gibbs/GibbJa00,GibbJa00,RB3,DET/8,3,4,5,4,5,5,3,6,3,5,4,4
7,Christian McCaffrey,https://www.footballguys.com/player/Christian+McCaffrey/McCaCh00,McCaCh00,RB4,SF/14,9,8,7,7,7,10,7,11,7,12,7,8
11,Derrick Henry,https://www.footballguys.com/player/Derrick+Henry/HenrDe00,HenrDe00,RB5,BAL/7,8,7,11,15,12,9,13,9,12,8,14,7
12,Ashton Jeanty,https://www.footballguys.com/player/Ashton+Jeanty/JeanAs00,JeanAs00,RB6,LV/8,13,9,12,13,11,12,9,12,9,11,13,11
15,De'Von Achane,https://www.footballguys.com/player/De%27Von+Achane/AchaDe00,AchaDe00,RB7,MIA/12,20,10,19,18,14,21,16,14,11,14,16,15
19,Jonathan Taylor,https://www.footballguys.com/player/Jonathan+Taylor/TaylJo02,TaylJo02,RB8,IND/11,21,21,18,21,16,19,20,22,19,23,22,17
20,Bucky Irving,https://www.footballguys.com/player/Bucky+Irving/IrviBu00,IrviBu00,RB9,TB/9,23,20,21,22,23,25,19,25,18,21,21,19
21,Josh Jacobs,https://www.footballguys.com/player/Josh+Jacobs/JacoJo00,JacoJo00,RB10,GB/5,24,11,23,26,18,20,22,19,16,19,23,16
22,Chase Brown,https://www.footballguys.com/player/Chase+Brown/BrowCh06,BrowCh06,RB11,CIN/10,28,22,16,17,25,24,17,32,17,27,19,25
27,Kyren Williams,https://www.footballguys.com/player/Kyren+Williams/WillKy02,WillKy02,RB12,LAR/8,30,18,28,30,31,23,25,24,22,28,32,26
30,James Cook,https://www.footballguys.com/player/James+Cook/CookJa05,CookJa05,RB13,BUF/7,34,28,31,41,32,29,34,28,28,32,40,31
33,Omarion Hampton,https://www.footballguys.com/player/Omarion+Hampton/HampOm00,HampOm00,RB14,LAC/12,35,40,29,28,40,35,31,48,26,42,27,37
40,Breece Hall,https://www.footballguys.com/player/Breece+Hall/HallBr01,HallBr01,RB15,NYJ/9,42,33,50,45,51,38,44,30,31,34,43,38
42,Ken Walker III,https://www.footballguys.com/player/Ken+Walker+III/WalkKe01,WalkKe01,RB16,SEA/8,54,34,40,36,38,41,40,40,36,44,48,42
44,Alvin Kamara,https://www.footballguys.com/player/Alvin+Kamara/KamaAl00,KamaAl00,RB17,NO/11,48,27,47,52,39,39,50,46,32,40,58,45
45,TreVeyon Henderson,https://www.footballguys.com/player/TreVeyon+Henderson/HendTr00,HendTr00,RB18,NE/14,52,48,34,37,49,45,37,63,39,60,46,66
48,Chuba Hubbard,https://www.footballguys.com/player/Chuba+Hubbard/HubbCh00,HubbCh00,RB19,CAR/14,72,44,54,60,43,47,53,54,38,46,55,41
51,James Conner,https://www.footballguys.com/player/James+Conner/ConnJa00,ConnJa00,RB20,ARI/8,80,42,57,61,50,46,55,49,46,50,60,46
61,D'Andre Swift,https://www.footballguys.com/player/D%26apos%3BAndre+Swift/SwifDA00,SwifDA00,RB21,CHI/5,87,50,63,54,56,64,57,59,45,70,67,70
62,RJ Harvey,https://www.footballguys.com/player/RJ+Harvey/HarvRj00,HarvRj00,RB22,DEN/12,92,59,59,62,75,57,59,72,50,64,59,54
63,Isiah Pacheco,https://www.footballguys.com/player/Isiah+Pacheco/PachIs00,PachIs00,RB23,KC/10,70,68,64,70,68,69,64,61,55,63,71,62
66,David Montgomery,https://www.footballguys.com/player/David+Montgomery/MontDa01,MontDa01,RB24,DET/8,81,56,72,76,60,60,72,66,58,54,76,50
69,Tony Pollard,https://www.footballguys.com/player/Tony+Pollard/PollTo01,PollTo01,RB25,TEN/10,85,62,68,65,74,72,68,80,54,77,74,56
71,Aaron Jones Sr.,https://www.footballguys.com/player/Aaron+Jones+Sr+/JoneAa00,JoneAa00,RB26,MIN/6,86,52,77,79,69,62,77,75,59,69,80,72
75,Kaleb Johnson,https://www.footballguys.com/player/Kaleb+Johnson/JohnKa01,JohnKa01,RB27,PIT/5,93,75,82,74,93,87,74,81,61,78,77,67
84,Tyrone Tracy Jr.,https://www.footballguys.com/player/Tyrone+Tracy+Jr+/TracTy00,TracTy00,RB28,NYG/14,97,77,81,87,82,82,81,106,69,89,87,85
85,Joe Mixon,https://www.footballguys.com/player/Joe+Mixon/MixoJo00,MixoJo00,RB29,HOU/6,99,61,109,116,87,99,106,51,71,65,99,71
89,Jaylen Warren,https://www.footballguys.com/player/Jaylen+Warren/WarrJa00,WarrJa00,RB30,PIT/5,109,87,92,86,89,90,84,108,73,96,86,87
98,Jordan Mason,https://www.footballguys.com/player/Jordan+Mason/MasoJo00,MasoJo00,RB31,MIN/6,107,98,88,83,132,120,87,141,81,107,84,92
100,Brian Robinson Jr,https://www.footballguys.com/player/Brian+Robinson+Jr/RobiBr01,RobiBr01,RB32,SF/14,125,82,116,117,102,130,110,92,87,83,109,82
101,Travis Etienne Jr.,https://www.footballguys.com/player/Travis+Etienne+Jr+/EtieTr00,EtieTr00,RB33,JAX/8,113,92,99,98,120,95,89,117,83,92,104,110
103,J.K. Dobbins,https://www.footballguys.com/player/J+K++Dobbins/DobbJ+00,DobbJ+00,RB34,DEN/12,121,100,102,95,97,101,97,150,90,112,100,109
105,Quinshon Judkins,https://www.footballguys.com/player/Quinshon+Judkins/JudkQu00,JudkQu00,RB35,CLE/9,118,105,128,124,94,135,126,93,98,76,132,106
107,Zach Charbonnet,https://www.footballguys.com/player/Zach+Charbonnet/CharZa00,CharZa00,RB36,SEA/8,102,95,95,96,145,119,91,155,93,113,101,116
112,Cam Skattebo,https://www.footballguys.com/player/Cam+Skattebo/SkatCa00,SkatCa00,RB37,NYG/14,119,104,122,132,123,149,113,100,101,99,116,120
115,Javonte Williams,https://www.footballguys.com/player/Javonte+Williams/WillJa08,WillJa08,RB38,DAL/10,120,97,115,137,109,118,105,145,91,109,135,141
117,Rhamondre Stevenson,https://www.footballguys.com/player/Rhamondre+Stevenson/StevRh00,StevRh00,RB39,NE/14,138,112,138,129,111,132,128,125,104,123,126,115
