Consensus,Player,Player Link,Player Slug/ID,Consensus Pos,Team/Bye,BestBall10s,CBS,DraftKings,Drafters,ESPN,MFL,NFFC,NFLcom,RT Sports,Sleeper,Underdog,Yahoo!
16,Brock Bowers,https://www.footballguys.com/player/Brock+Bowers/BoweBr00,BoweBr00,TE1,LV/8,10,23,17,18,19,28,18,17,21,16,18,20
26,Trey McBride,https://www.footballguys.com/player/Trey+McBride/McBrTr01,McBrTr01,TE2,ARI/8,19,36,24,23,24,32,26,26,28,26,26,27
34,George Kittle,https://www.footballguys.com/player/George+Kittle/KittGe00,KittGe00,TE3,SF/14,26,39,35,34,35,40,41,38,41,37,36,30
55,Sam LaPorta,https://www.footballguys.com/player/Sam+LaPorta/LapoSa00,LapoSa00,TE4,DET/8,38,57,67,74,47,53,69,43,65,47,78,47
65,T.J. Hockenson,https://www.footballguys.com/player/T+J++Hockenson/HockTJ00,HockTJ00,TE5,MIN/6,47,71,83,87,54,75,80,50,76,57,85,52
66,Travis Kelce,https://www.footballguys.com/player/Travis+Kelce/KelcTr00,KelcTr00,TE6,KC/10,41,60,79,79,57,65,83,57,63,62,92,59
73,Mark Andrews,https://www.footballguys.com/player/Mark+Andrews/AndrMa00,AndrMa00,TE7,BAL/7,44,70,94,88,72,73,92,52,92,73,96,62
82,Evan Engram,https://www.footballguys.com/player/Evan+Engram/EngrEv00,EngrEv00,TE8,DEN/12,62,94,93,99,78,97,95,74,90,81,107,80
87,Tyler Warren,https://www.footballguys.com/player/Tyler+Warren/WarrTy00,WarrTy00,TE9,IND/11,66,103,76,83,103,90,94,90,94,91,94,111
90,David Njoku,https://www.footballguys.com/player/David+Njoku/NjokDa00,NjokDa00,TE10,CLE/9,83,78,101,106,70,86,101,85,101,86,119,77
103,Tucker Kraft,https://www.footballguys.com/player/Tucker+Kraft/KrafTu00,KrafTu00,TE11,GB/5,100,118,113,114,98,124,111,115,110,114,115,88
109,Colston Loveland,https://www.footballguys.com/player/Colston+Loveland/LoveCo00,LoveCo00,TE12,CHI/5,110,130,106,111,113,125,122,113,115,105,110,132
118,Dalton Kincaid,https://www.footballguys.com/player/Dalton+Kincaid/KincDa00,KincDa00,TE13,BUF/7,96,147,131,130,127,150,137,129,141,111,130,119
122,Kyle Pitts Sr.,https://www.footballguys.com/player/Kyle+Pitts+Sr+/PittKy00,PittKy00,TE14,ATL/5,146,150,125,137,130,141,134,130,139,115,140,144
125,Jake Ferguson,https://www.footballguys.com/player/Jake+Ferguson/FergJa01,FergJa01,TE15,DAL/10,141,142,136,140,142,163,127,159,132,126,136,117
128,Dallas Goedert,https://www.footballguys.com/player/Dallas+Goedert/GoedDa00,GoedDa00,TE16,PHI/9,112,122,140,144,124,157,154,142,165,125,141,120
142,Jonnu Smith,https://www.footballguys.com/player/Jonnu+Smith/SmitJo02,SmitJo02,TE17,PIT/5,154,162,173,186,180,231,161,88,157,102,180,131
149,Zach Ertz,https://www.footballguys.com/player/Zach+Ertz/ErtzZa00,ErtzZa00,TE18,WAS/12,158,115,143,160,160,180,173,163,176,155,163,152
153,Hunter Henry,https://www.footballguys.com/player/Hunter+Henry/HenrHu00,HenrHu00,TE19,NE/14,175,167,159,159,156,171,172,172,170,172,158,141
173,Isaiah Likely,https://www.footballguys.com/player/Isaiah+Likely/LikeIs00,LikeIs00,TE20,BAL/7,179,194,175,188,199,221,182,160,197,168,169,185
180,Chig Okonkwo,https://www.footballguys.com/player/Chig+Okonkwo/OkonCh00,OkonCh00,TE21,TEN/10,181,-,171,163,193,294,193,220,185,208,166,173
182,Brenton Strange,https://www.footballguys.com/player/Brenton+Strange/StraBr00,StraBr00,TE22,JAX/8,180,198,153,153,220,260,170,-,177,185,155,203
185,Cade Otton,https://www.footballguys.com/player/Cade+Otton/OttoCa00,OttoCa00,TE23,TB/9,182,218,172,180,202,274,216,211,173,220,178,154
199,Pat Freiermuth,https://www.footballguys.com/player/Pat+Freiermuth/FreiPa00,FreiPa00,TE24,PIT/5,187,203,210,231,198,208,224,174,219,217,225,157
203,Mason Taylor,https://www.footballguys.com/player/Mason+Taylor/TaylMa01,TaylMa01,TE25,NYJ/9,210,-,183,175,-,261,210,-,205,214,181,200
209,Mike Gesicki,https://www.footballguys.com/player/Mike+Gesicki/GesiMi00,GesiMi00,TE26,CIN/10,202,-,191,208,-,289,233,-,-,197,194,167
215,Elijah Arroyo,https://www.footballguys.com/player/Elijah+Arroyo/ArroEl00,ArroEl00,TE27,SEA/8,232,-,198,202,-,305,244,-,235,186,210,161
