Consensus,Player,Player Link,Player Slug/ID,Consensus Pos,Team/Bye,BestBall10s,CBS,DraftKings,Drafters,ESPN,MFL,NFFC,NFLcom,RT Sports,Sleeper,Underdog,Yahoo!
1,Ja'Marr Chase,https://www.footballguys.com/player/Ja%26apos%3BMarr+Chase/ChasJa00,ChasJa00,WR1,CIN/10,1,1,1,1,1,1,1,1,1,1,1,1
5,Justin Jefferson,https://www.footballguys.com/player/Justin+Jefferson/JeffJu00,JeffJu00,WR2,MIN/6,6,5,6,5,4,7,6,5,6,4,6,5
6,CeeDee Lamb,https://www.footballguys.com/player/CeeDee+Lamb/LambCe00,LambCe00,WR3,DAL/10,5,6,4,3,6,6,5,3,5,6,3,6
8,Amon-Ra St. Brown,https://www.footballguys.com/player/Amon-Ra+St++Brown/StBrAm00,StBrAm00,WR4,DET/8,7,13,10,9,9,11,10,8,10,7,11,10
9,Malik Nabers,https://www.footballguys.com/player/Malik+Nabers/NabeMa00,NabeMa00,WR5,NYG/14,11,12,9,10,10,16,8,9,9,10,9,12
10,Nico Collins,https://www.footballguys.com/player/Nico+Collins/CollNi00,CollNi00,WR6,HOU/6,12,15,8,8,13,14,12,16,11,13,8,9
13,Puka Nacua,https://www.footballguys.com/player/Puka+Nacua/NacuPu00,NacuPu00,WR7,LAR/8,14,14,13,13,8,15,15,7,17,9,10,13
14,Brian Thomas Jr.,https://www.footballguys.com/player/Brian+Thomas+Jr+/ThomBr01,ThomBr01,WR8,JAX/8,15,19,14,11,15,21,11,13,14,15,12,14
17,Drake London,https://www.footballguys.com/player/Drake+London/LondDr00,LondDr00,WR9,ATL/5,16,24,15,14,21,27,14,20,19,17,15,18
18,A.J. Brown,https://www.footballguys.com/player/A+J++Brown/BrowAJ00,BrowAJ00,WR10,PHI/9,25,26,20,17,17,26,21,15,23,18,17,23
25,Ladd McConkey,https://www.footballguys.com/player/Ladd+McConkey/McCoLa00,McCoLa00,WR11,LAC/12,22,29,22,21,30,30,23,23,29,24,20,25
28,Tee Higgins,https://www.footballguys.com/player/Tee+Higgins/HiggTe00,HiggTe00,WR12,CIN/10,31,32,26,25,26,33,29,32,36,30,25,29
30,Jaxon Smith-Njigba,https://www.footballguys.com/player/Jaxon+Smith-Njigba/SmitJa02,SmitJa02,WR13,SEA/8,37,41,30,29,36,36,28,39,33,29,31,32
32,Tyreek Hill,https://www.footballguys.com/player/Tyreek+Hill/HillTy00,HillTy00,WR14,MIA/12,45,37,33,33,29,35,35,36,31,25,24,35
35,Garrett Wilson,https://www.footballguys.com/player/Garrett+Wilson/WilsGa00,WilsGa00,WR15,NYJ/9,40,47,38,26,41,46,30,37,43,33,33,37
